ID,Act of terror,Sex,EthnicAppearance_cleaned,Age,InitialRisk,Crimes in pre,Terror in Pre,Number of prior co-offenders
12202,0,M,Afro-Caribbean,17,H,1,0,2
12376,1,M,Afro-Caribbean,20,S,2,0,5
12567,0,M,Afro-Caribbean,21,S,1,0,1
12222,0,M,Afro-Caribbean,22,M,1,0,4
12480,0,M,Arab,23,S,2,0,2
8897,1,M,Asian,35,S,0,0,0
8897,1,M,Asian,37,S,0,0,0
1364,1,M,Asian,20,M,0,0,0
11774,1,M,Asian,25,S,0,0,0
5447,1,M,Asian,31,M,0,0,0
8147,1,M,Asian,31,S,0,0,0
11756,0,F,Asian,31,S,0,0,0
9180,0,M,Asian,32,M,0,0,0
12259,1,F,Asian,33,S,0,0,0
11853,0,M,Asian,14,Unknown,0,0,0
7369,0,M,Asian,26,M,0,0,0
8285,0,M,Asian,40,M,0,0,0
11377,1,M,Asian,21,M,0,0,0
11937,1,F,Asian,21,S,0,0,0
337,0,M,Asian,24,H,1,1,3
12637,1,F,Asian,33,S,0,0,0
11197,0,F,Asian,36,M,0,0,0
5588,1,M,Asian,37,M,2,2,3
5588,1,M,Asian,42,S,2,2,5
11862,0,M,Asian,43,M,0,0,0
10957,0,M,Asian,54,S,0,0,0
129,1,M,Asian,12,Unknown,0,0,0
12319,0,M,Asian,15,Unknown,1,0,1
6418,0,F,Asian,16,S,0,0,0
12253,1,M,Asian,16,S,0,0,0
11901,1,F,Asian,17,M,1,0,2
12146,0,M,Asian,17,Unknown,0,0,0
4951,1,M,Asian,18,S,0,0,0
12109,0,F,Asian,19,M,0,0,0
11532,1,M,Asian,19,Unknown,0,0,0
736,0,M,Asian,20,H,0,0,0
4487,1,M,Asian,20,M,0,0,0
4487,0,M,Asian,20,M,0,0,0
5860,0,M,Asian,20,M,0,0,0
9064,0,M,Asian,20,M,0,0,0
12033,0,M,Asian,20,M,0,0,0
11734,0,M,Asian,20,S,0,0,0
12453,0,M,Asian,21,M,0,0,0
356,0,M,Asian,21,H,6,0,3
356,0,M,Asian,21,H,6,0,5
7771,1,M,Asian,21,S,0,0,0
7806,1,F,Asian,21,S,0,0,0
